Time (Sec);S1;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S3;S30;S31;S32;S33;S5;S7;S9;
0.0;19160.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;
0.1006666666666667;19160.0;999.9854320000001;999.9789256000001;999.9821288000002;999.9854320000002;999.9854320000002;999.9854320000002;999.9822288000001;999.9820000000002;999.9820000000002;999.9854320000002;999.9888640000001;999.9994000000002;999.9994000000002;999.9856768000002;999.9994000000002;999.9994000000002;999.9994000000002;999.9994000000002;999.9895664000002;999.9861344000002;999.9891088000002;
0.2003399999999997;19160.0;999.9845320000003;999.9780256000004;999.9812288000004;999.9845320000004;999.9845320000004;999.9845320000004;999.9813288000004;999.9811000000004;999.9811000000004;999.9845320000004;999.9879640000004;999.9879640000004;999.9845320000004;999.9847768000004;999.9879640000004;999.9845320000004;999.9810000000004;999.9811000000004;999.9886664000004;999.9852344000004;999.9882088000004;
0.300339999999999;19160.0;999.9835320000005;999.9771256000006;999.9803288000006;999.9835320000007;999.9835320000007;999.9835320000007;999.9803288000006;999.9801000000007;999.9801000000007;999.9835320000007;999.9870640000006;999.9870640000006;999.9835320000007;999.9837768000007;999.9870640000006;999.9835320000007;999.9801000000007;999.9801000000007;999.9877664000006;999.9842344000007;999.9873088000006;
0.40066666666666473;19160.0;999.9826320000008;999.9762256000008;999.9794288000008;999.9826320000009;999.9826320000009;999.9826320000009;999.9794288000008;999.9792000000009;999.9792000000009;999.9826320000009;999.9860640000009;999.9860640000009;999.9826320000009;999.9828768000009;999.9860640000009;999.9826320000009;999.9792000000009;999.9792000000009;999.9867664000009;999.9833344000009;999.9863088000009;
0.5066666666666638;19160.0;999.981732000001;999.9752256000011;999.9785288000011;999.9817320000011;999.9817320000011;999.9817320000011;999.9785288000011;999.9783000000011;999.9783000000011;999.9817320000011;999.9851640000011;999.9851640000011;999.9817320000011;999.9819768000011;999.9851640000011;999.9817320000011;999.9783000000011;999.9783000000011;999.9858664000011;999.9824344000011;999.9854088000011;
0.6056666666666639;19160.0;999.9808320000012;999.9743256000013;999.9776288000013;999.9808320000013;999.9808320000013;999.9808320000013;999.9776288000013;999.9774000000014;999.9774000000014;999.9808320000013;999.9842640000013;999.9842640000013;999.9808320000013;999.9810768000013;999.9842640000013;999.9808320000013;999.9774000000014;999.9774000000014;999.9849664000013;999.9815344000014;999.9845088000013;
0.704666666666664;19160.0;999.9799320000014;999.9734256000015;999.9767288000015;999.9799320000016;999.9799320000016;999.9799320000016;999.9767288000015;999.9765000000016;999.9765000000016;999.9799320000016;999.9833640000015;999.9833640000015;999.9799320000016;999.9801768000016;999.9833640000015;999.9799320000016;999.9765000000016;999.9765000000016;999.9840664000016;999.9806344000016;999.9836088000015;
0.8036666666666641;19160.0;999.9790320000017;999.9725256000017;999.9758288000018;999.9790320000018;999.9790320000018;999.9790320000018;999.9758288000018;999.9756000000018;999.9756000000018;999.9790320000018;999.9824640000018;999.9824640000018;999.9790320000018;999.9792768000018;999.9824640000018;999.9790320000018;999.9756000000018;999.9756000000018;999.9831664000018;999.9797344000018;999.9827088000018;
0.9026666666666642;19160.0;999.9781320000019;999.971625600002;999.974928800002;999.978132000002;999.978132000002;999.978132000002;999.974928800002;999.974700000002;999.974700000002;999.978132000002;999.981564000002;999.981564000002;999.978132000002;999.978376800002;999.981564000002;999.978132000002;999.974700000002;999.974700000002;999.982266400002;999.978834400002;999.981808800002;
1.0016666666666643;19160.0;999.9772320000021;999.9707256000022;999.9740288000022;999.9772320000022;999.9772320000022;999.9772320000022;999.9740288000022;999.9738000000023;999.9738000000023;999.9772320000022;999.9806640000022;999.9806640000022;999.9772320000022;999.9774768000023;999.9806640000022;999.9772320000022;999.9738000000023;999.9738000000023;999.9813664000022;999.9779344000023;999.9809088000022;
1.1006666666666596;19160.0;999.9763320000023;999.9698256000024;999.9731288000024;999.9763320000025;999.9763320000025;999.9763320000025;999.9731288000024;999.9729000000025;999.9729000000025;999.9763320000025;999.9797640000024;999.9797640000024;999.9763320000025;999.9765768000025;999.9797640000024;999.9763320000025;999.9729000000025;999.9729000000025;999.9804664000025;999.9770344000025;999.9800088000025;
1.200666666666655;19160.0;999.9754320000026;999.9689256000026;999.9722288000027;999.9754320000027;999.9754320000027;999.9754320000027;999.9722288000027;999.9720000000027;999.9720000000027;999.9754320000027;999.9788640000027;999.9788640000027;999.9754320000027;999.9756768000027;999.9788640000027;999.9754320000027;999.9720000000027;999.9720000000027;999.9795664000027;999.9761344000027;999.9791088000027;
1.3003399999999836;19160.0;999.9745320000028;999.9680256000029;999.9712288000029;999.9745320000029;999.9745320000029;999.9745320000029;999.9713288000029;999.9711000000029;999.9711000000029;999.9745320000029;999.9779640000029;999.9779640000029;999.9745320000029;999.9747768000029;999.9779640000029;999.9745320000029;999.971000000003;999.9711000000029;999.9786664000029;999.9752344000029;999.9782088000029;
1.4003399999999788;19160.0;999.973532000003;999.9671256000031;999.9703288000031;999.9735320000032;999.9735320000032;999.9735320000032;999.9703288000031;999.9701000000032;999.9701000000032;999.9735320000032;999.9770640000031;999.9770640000031;999.9735320000032;999.9737768000032;999.9770640000031;999.9735320000032;999.9701000000032;999.9701000000032;999.9777664000031;999.9742344000032;999.9773088000031;
